Language_name	Language_ID	Glottocode	Language_level_glottocode	Parameter_ID	Form	Comment	Cognacy	Dataset	Source	Pages	Ultimate_source	Language_comment
Lampung Api (Sukau)	601	lamp1243	lamp1243	hand	culuʔ		46	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Api (Krui)	602	lamp1243	lamp1243	hand	culuʔ		46	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Api (Belalau)	603	lamp1243	lamp1243	hand	culuʔ		46	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Api (Way Kanan)	604	lamp1243	lamp1243	hand	puŋũ		17	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Api (Kota Agung)	605	lamp1243	lamp1243	hand	culuʔ		46	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Api (Talang Padang)	606	lamp1243	lamp1243	hand	culuʔ		46	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Api (Way Lima)	607	lamp1243	lamp1243	hand	culuk		46	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Api (Sungkai)	608	lamp1243	lamp1243	hand	puŋu		17	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Api (Pubian)	609	lamp1243	lamp1243	hand	puŋu		17	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Api (Kalianda)	610	lamp1243	lamp1243	hand	culuʔ		46	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Nyo (Melinting)	611	lamp1243	lamp1243	hand	puŋə̯o		17	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lampung Api (Jabung)	612	lamp1243	lamp1243	hand	puŋu		17	abvd	anderback2006		Karl Anderback	Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.
Lobu Lanas	lana1236-1	lana1236	lana1236	five	limə			barlowpacific	Lobel2016	pp.234-239		
Southern Subanen	lapu1236-1	lapu1236	lapu1236	five	ɡlima			barlowpacific	Hapalla1992	pp.56, 58		
Southern Subanen	lapu1236-2	lapu1236	lapu1236	five	dlima			barlowpacific	Lobel2013	pp.319-356		
Larantuka Malay	lara1260-1	lara1260	lara1260	five	lima			barlowpacific	Paauw2009	p.190		
Larevat	1034	lare1249	lare1249	five	lum		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Larevat, Vanuatu	lare1249-1	lare1249	lare1249	five	lum			chan2019	Larevat.htm		Dr. Darrel Tryon, Department of Linguistics, Australian National University, Canberra, Australia, March 2, 1988.	Larevat might have a quinary system of counting. New data needed.
Larevat	1034	lare1249	lare1249	hand	n-ləβɣanəβa-ɣ		16?	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Larike-Wakasihu, Indonesia	lari1255-1	lari1255	lari1255	five	dima			chan2019	Larike-Wakasihu.htm		Mr. Wyn D. Laidig, SIL-Maluku, January 7, 1994.	Larike-Wakasihu has a decimal numeral system.
Lasalimu	1522	lasa1237	lasa1237	five	lolima			abvd	MeadLasalimu		Mead, David. 2017. Lasalimu word list and notes. (Sulang Language Data and Working Papers: Word Lists, 6). Sulawesi Language Alliance. Online. URL: http://sulang.org/resources/word-lists/006	"Pinpoint coordinates for this word list are 5° 15' 5.2"" S and 123° 9' 33.9"" E"
Lasalimu	lasa1237	lasa1237	lasa1237	five	lolima			lexirumah	mead18-lasalimu			
Lasalimu, Sulawesi, Indonesia	lasa1237-1	lasa1237	lasa1237	five	lo'lima			chan2019	Lasalimu.htm		Alimuddin, transcribed by Dr. David Mead, SIL International, August 22, 2015.	Lasalimu has a decimal system similar to that of Cia-Cia.
Lasalimu	1522	lasa1237	lasa1237	hand	lima		1,64	abvd	MeadLasalimu		Mead, David. 2017. Lasalimu word list and notes. (Sulang Language Data and Working Papers: Word Lists, 6). Sulawesi Language Alliance. Online. URL: http://sulang.org/resources/word-lists/006	"Pinpoint coordinates for this word list are 5° 15' 5.2"" S and 123° 9' 33.9"" E"
Lasalimu	lasa1237	lasa1237	lasa1237	hand	lima			lexirumah	mead18-lasalimu			
Ampibabo-Lauje	lauj1238-1	lauj1238	lauj1238	five	lelima			barlowpacific	Himmelmann2001	pp.101-104		
Lauje, Sulawesi, Indonesia	lauj1238-1	lauj1238	lauj1238	five	lelima			chan2019	Lauje.htm		Mr. and Mrs. Barrie Williamson, NTM, (New Tribes Mission), Singapore, October, 1994, November 26, 2013.	Lauje has a decimal system similar to that of Pendau.
Lauje	lauj1238-2	lauj1238	lauj1238	five	elima	Janja dialect		barlowpacific	Himmelmann2001	pp.101-104		
Lauje	lauj1238-2	lauj1238	lauj1238	five	lelima			barlowpacific	Himmelmann2001	pp.101-104		
Lau	68	lauu1247	lauu1247	five	lima		1	abvd	82675		Blust from: Fox (1974)	Fox, C. E. (1974). Lau Dictionary with English Index. Australian National University Press: Canberra.
Lau (Walade)	587	lauu1247	lauu1247	five	lima	five	1	abvd	85830		Tryon & Hackman (1983)	Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.
Lau (North)	588	lauu1247	lauu1247	five	lima	five	1	abvd	85830		Tryon & Hackman (1983)	Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.
Lau, Solomon Islands	lauu1247-1	lauu1247	lauu1247	five	lima			chan2019	Lau-AN.htm		Dr. Steve Doty and & Mrs. Margie Doty, Solomon Islands Translation Advisory Group / SIL International. May 30, 2006.	Lau has a decimal system similar to that of To'abaita.
Lau	68	lauu1247	lauu1247	hand	ʔaba		2	abvd	82675		Blust from: Fox (1974)	Fox, C. E. (1974). Lau Dictionary with English Index. Australian National University Press: Canberra.
Lau (Walade)	587	lauu1247	lauu1247	hand	aba-na	arm	2	abvd	85830		Tryon & Hackman (1983)	Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.
Lau (North)	588	lauu1247	lauu1247	hand	aba-na	arm	2	abvd	85830		Tryon & Hackman (1983)	Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.
Lavatbura-Lamusong	lava1239-1	lava1239	lava1239	five	lima	‘hand’ = ‘egum-’; appears to be unrelated 		barlowpacific	Lean1985Vol01	p.40	Field Notes, 1983. Village: Lamasong.	
Lavatbura-Lamusong, PNG	lava1239-1	lava1239	lava1239	five	nima			chan2019	Lavatbura-Lamusong.htm		Mrs. Carolyn Lee with Dorcas Balasam, SIL International, Papua New Guinea, August 11, 2011.	The above data is taken from Lavatbura Lamusang dialect spoken Pinikidu Village, New Ireland Province, Papua New Guinea. Note the the form for 2000 is suspected. The sound system for this language is close to that of the Madak language. The symbol' x' is a ''voiced velar fricative''.
Lavatbura-Lamusong, PNG	lava1239-2	lava1239	lava1239	five	lima			chan2019	Lavatbura-Lamusong.htm		Mrs. Carolyn Lee with Penias Lepan, SIL International, Papua New Guinea, August 11, 2011.	The above data is taken from Lavatbura Lamusang dialect spoken Konos Village, New Ireland Province, Papua New Guinea. The sound system for this language is close to that of the Madak language. The symbol' x' is a ''voiced velar fricative''.
Lamusong	171	lamu1255	lava1239	hand	guma			abvd	Blust-171-2005		Blust	
Lavatbura-Lamusong	lava1239-1	lava1239	lava1239	hand	egum-	‘hand’ = ‘egum-’; appears to be unrelated 		barlowpacific	Lean1985Vol01	p.40	Field Notes, 1983. Village: Lamasong.	
Paser	1209	lawa1257	lawa1257	five	limo'		1	abvd	Hendra-1209-2015		Hendra	Sander Adelaar: In a number of cases, Paser has S for *w, including Sei 'left', Sanan 'right', eSa' 'fish' (< iwak), beleso' 'rat', suang 'inside' (SE Barito *wuang)
Paser	1209	lawa1257	lawa1257	hand	kayang			abvd	Hendra-1209-2015		Hendra	Sander Adelaar: In a number of cases, Paser has S for *w, including Sei 'left', Sanan 'right', eSa' 'fish' (< iwak), beleso' 'rat', suang 'inside' (SE Barito *wuang)
Piva	858	lawu1237	lawu1237	five	niima		1	abvd	Lincoln-858-2011		PC Lincoln	"v [bilabial]
[r] [l] = /r/
[glottal stop] /'/
morphological analysis incomplete"
Piva	lawu1237-1	lawu1237	lawu1237	five	'nima			barlowpacific	Lean1985Vol03	p.42	Allen and Hurd, SIL Wordlist, (1963); Tengeropaia village.	
Lawunuia (Piva), Papua New Guinea	lawu1237-1	lawu1237	lawu1237	five	niima	(litː ''one hand'')		chan2019	Lawunuia-Piva.htm		Dr. Piet Lincoln. Department of linguistics, University of Hawaii at Manoa, Hawaii, USA, November 11, 2004.	Lawunuia or Piva might have a a peculiar counting system similar to that of Banoni. New data for higher numbers after ten needed.
Piva	858	lawu1237	lawu1237	hand	numa-gu		1,66	abvd	Lincoln-858-2011		PC Lincoln	"v [bilabial]
[r] [l] = /r/
[glottal stop] /'/
morphological analysis incomplete"
Kaili (Palu dialect)	ledo1238-1	ledo1238	ledo1238	five	alima			barlowpacific	Arnaud1998	pp.863-879 [word list item numbers]		
Ledo Kaili, Sulawesi, Indonesia	ledo1238-1	ledo1238	ledo1238	five	alima			chan2019	Kaili-Ledo.htm		Ms. Donna Evans, SIL-International, December 22, 1993.	Ledo-Kailli has a decimal system similar to that of Lindu.
Palu	ledo1238-2	ledo1238	ledo1238	five	Alima			barlowpacific	Stokhof1984Vol7.3	p.137		
Sausu	ledo1238-3	ledo1238	ledo1238	five	alima			barlowpacific	Stokhof1984Vol7.3	p.124		
Laganjan	lege1241-1	lege1241	lege1241	five	lim			barlowpacific	Galis1955	p.137		
Laganyan	lege1241-2	lege1241	lege1241	five	lim			barlowpacific	Remijsen2001	pp.147, 152		
Sakabu	lege1241-3	lege1241	lege1241	five	lim			barlowpacific	Galis1955	p.138		
Lehali	1168	leha1243	leha1243	five	teβa-lem		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lehali	1168	leha1243	leha1243	hand	bini-k		14	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Löyöp	1123	leha1244	leha1244	five	čiβi-lyem		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Bligh Island, Ureparapara (Norbarbar)	leha1244-1	leha1244	leha1244	five	teveliem			barlowpacific	Codrington1885	pp.233, 236, 390		
Bligh Island, Ureparapara (Norbarbar)	leha1244-1	leha1244	leha1244	five	teveliem	[<m> in italics, = “nasal”]		barlowpacific	Codrington1885	pp.233, 236, 390		
Bligh Island, Ureparapara (Norbarbar) (Retan)	leha1244-2	leha1244	leha1244	five	tavalem	[<m> in italics, = “nasal”]		barlowpacific	Codrington1885	p.390		
Löyöp	1123	leha1244	leha1244	hand	pene-k		14	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Pitilu	1381	leip1237	leip1237	five	malime	five	1	abvd	317042		Smythe and Z'Graggen (1975)	Smythe, William E. and Z'Graggen, J. (1975). Comparative Wordlists of the Admiralty Island Languages. Workpapers in New Guinea Languages, SIL: Ukarumpa, Papua New Guinea.
Leipon	leip1237-1	leip1237	leip1237	five	(ma)limeh			barlowpacific	Lean1985Vol02	p.30	2 CSQs. Village: Pityilu.	
Leipon 	leip1237-2	leip1237	leip1237	five	malmeh 			barlowpacific	Blust2021	pp.25, 30, 32, 37, 38		
Leipon (from SIL word list)	leip1237-3	leip1237	leip1237	five	malimeh			barlowpacific	LeanManus	pp.23-24	SIL Word List (1975). Pityilu Island.	
Leipon	69	leip1237	leip1237	hand	nime-n		1,66	abvd	Blust-69-2005		Blust	
Pitilu	1381	leip1237	leip1237	hand	nimu-	hand	1,66	abvd	317042		Smythe and Z'Graggen (1975)	Smythe, William E. and Z'Graggen, J. (1975). Comparative Wordlists of the Admiralty Island Languages. Workpapers in New Guinea Languages, SIL: Ukarumpa, Papua New Guinea.
Lelak	lela1246-1	lela1246	lela1246	five	limă			barlowpacific	Ray1913	pp.58, 61		
Lelepa	1000	lele1267	lele1267	five	lima		1	abvd	Lacrampe-1000-2014		Sébastien Lacrampe	m̃ is a labial velar nasal, p̃ is a labial velar stop.
Lelepa	1097	lele1267	lele1267	five	lim		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lelepa (Pango)	1106	lele1267	lele1267	five	ka-lim		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lelepa, Vanuatu, Lelepa Island	lele1267-1	lele1267	lele1267	five	lima			chan2019	Lelepa.htm		"Dr. Sebastien Lacrampe, Department of linguistics, School of Culture, History and Language, Australian National University, ACT 0200, Australia. Reference source: April 2014, Sébastaien Lacrampe, Lelepa, ""Topics in the Grammar of a Vanuatu Language"" , PhD thesis, Australian National University, Canberra."	Lelepa has a quinary, decimal system. However, while the counting system can express high numbers, speakers ten to use Bislama numbers when expressing quantities or ordering over ten. Lelepa people are schooled in either English or French and are not formerly taught the Lelepa counting system.
Lelepa	1000	lele1267	lele1267	hand	nara	3sgPOSS suffix -a	54	abvd	Lacrampe-1000-2014		Sébastien Lacrampe	m̃ is a labial velar nasal, p̃ is a labial velar stop.
Lelepa	1097	lele1267	lele1267	hand	n-ar-ŋu		54	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lelepa (Pango)	1106	lele1267	lele1267	hand	n-aru-k		54	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Ere-Lele-Gele'-Kuruti (Lele dialect)	lele1270-1	lele1270	lele1270	five	hahu			barlowpacific	Lean1985Vol02	p.35	1 CSQ. Village: Bowat.	
Ere-Lele-Gele'-Kuruti (Lele dialect)	lele1270-1	lele1270	lele1270	five	iima			barlowpacific	Lean1985Vol02	p.35	1 CSQ. Village: Bowat.	
Lele, Papua New Guinea	lele1270-1	lele1270	lele1270	five	malimah			chan2019	Lele-AN.htm		Miss Juliane Boettger, PhD Candidate, School of Arts and Social Sciences, The Cairns Institute, James Cook University, Cairns, Australia, May 29, 2013.	"Lele is a typical ""Manus type"" Austronesian language, having a decimal counting system with subtractive element 'ndr' or 'ndor' in 7, 8 and 9. There are a list of numeral classifiers. People were much less certain regarding the forms, since the classifiers seem to vanish with Tok Pisin influence. Other higher numerals are: 300. matulŋat, 400. mahaŋat, 500. malimŋat,, 600. manonŋat, 700. manodrtilŋet, 800. manondorŋet, 900.manodrsaŋet, 1100. maposih saŋat, 3000. mapotoloh, 4000. mapohahou, 5000. mapolimah, 6000.mapononh, 7000. maponondrtoloh, 8000. maponondoruoh, 9000.maponondrsih, 10,000. maposuŋul, 20,000. maporuŋul, 30,000. mapotilŋul."
Lele 	lele1270-2	lele1270	lele1270	five	imah 			barlowpacific	Blust2021	pp.25, 30, 32, 37, 38		
Lemerig	696	leme1238	leme1238	five	βɛlæm	<*lima	1	abvd	Francois-696-2010		Alexandre François	"This language is spoken on Vanua Lava (Vanuatu, Banks) and has only two speakers left. 

New iso code = lrz;  but not yet in Ethnologue.

The data here are based on my field notes with one of these speakers.
http://alex.francois.free.fr/AF-field.htm#Vanuatu

Transcriptions are in IPA. Possessed (inalienable) nouns are here given in 3sg form (-n suffix)
As usual, I provide you with the etymology when I know it for sure.  
This etymology is sometimes at POc level, sometimes at a higher or lower level in the AN tree. 
When it is a local etymology (north Vanuatu) I indicate this with 2 stars."
Lemerig (Bek)	1136	leme1238	leme1238	five	eβe-lim		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lemerig (Sasar)	1175	leme1238	leme1238	five	æβæ-lim		11, 1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lehali (Teqel), Banks Is, Vanuatu	leme1238-1	leme1238	leme1238	five	teβɛaᵃlem			chan2019	Lehali.htm		Dr. Alexandre François, Centre National de la Recherche Scientifique, France / Department of Linguistics, Australian National University, Australia. December 8, 2004.	Lehali or Teqel has a quinary numeral system. Lehali is spoken in Ureparapara Island with about 200 speakers.
Lemerig (Pak), Banks Is, Vanuatu	leme1238-2	leme1238	leme1238	five	βɛ-læm			chan2019	Lemerig.htm		Dr. Alexandre François, Centre National de la Recherche Scientifique, France / Department of Linguistics, Australian National University, Australia. May 10, 2006.	Lemerig or Pak has a quinary numeral system. Lemerig is a nearly extinct language with only two speakers left.
Lemerig	696	leme1238	leme1238	hand	pænæ-n	<*banic	14	abvd	Francois-696-2010		Alexandre François	"This language is spoken on Vanua Lava (Vanuatu, Banks) and has only two speakers left.

New iso code = lrz; but not yet in Ethnologue.

The data here are based on my field notes with one of these speakers.
http://alex.francois.free.fr/AF-field.htm#Vanuatu

Transcriptions are in IPA. Possessed (inalienable) nouns are here given in 3sg form (-n suffix)
As usual, I provide you with the etymology when I know it for sure.
This etymology is sometimes at POc level, sometimes at a higher or lower level in the AN tree.
When it is a local etymology (north Vanuatu) I indicate this with 2 stars."
Lemerig (Bek)	1136	leme1238	leme1238	hand	pini-k		14	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lemerig (Sasar)	1175	leme1238	leme1238	hand	pini-k		14	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lemolang	lemo1243-1	lemo1243	lemo1243	five	lima			barlowpacific	Grimes1987	pp.129-135		
Lenakel	162	lena1238	lena1238	five	katilim		1,14	abvd	Lynch-162-2005		John Lynch	/ marks non-penultimate stress
Lenakel	1046	lena1238	lena1238	five	katilum		1,14	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lenakel (Lenaukas)	1063	lena1238	lena1238	five	katiləm		1,14	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lenakel (Lonasilian)	1112	lena1238	lena1238	five	katiləm		1,14	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lenakel, Vanuatu	lena1238-1	lena1238	lena1238	five	katilum			chan2019	Lenakel.htm		Prof. John Lynch, University of South Pacific, Suva, Fiji, July 3, 1998.	Lenakel has a quinary counting system. There was a recorded phrase for 20 ''ieramim karena rɨka'', which might mean 'one person', but the original was uncertain. Nowadays, they Lenakel people used Bislama numbers after five.
Lenakel	162	lena1238	lena1238	hand	nelm-		1,64	abvd	Lynch-162-2005		John Lynch	/ marks non-penultimate stress
Lenakel	1046	lena1238	lena1238	hand	nə-ləmə-n		1, 64	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lenakel (Lenaukas)	1063	lena1238	lena1238	hand	næ-limo-k		1, 64	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lenakel (Lonasilian)	1112	lena1238	lena1238	hand	na-limu-ku		1, 64	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Lengo (Paripao)	520	pari1257	leng1259	five	lima	five	1	abvd	85830		Tryon & Hackman (1983)	Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.
Lengo (Ghaimuta)	531	ghai1237	leng1259	five	lima	five	1	abvd	85830		Tryon & Hackman (1983)	Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.
Lengo	563	leng1259	leng1259	five	lima	five	1	abvd	85830		Tryon & Hackman (1983), Paul Unger	Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.
Lengo	leng1259-1	leng1259	leng1259	five	lima			barlowpacific	Unger2008	pp.56-57		
Lengo, Solomon Islands	leng1259-1	leng1259	leng1259	five	limɑ			chan2019	Lengo.htm		Mr. Paul Unger, Solomon Islands Translation Advisory Group / SIL International, October 10, 2008.	Lengo has a typical Eastern Austronesian decimal system.
Lengo - ‘Kastom’ cardinal numbers	leng1259-2	leng1259	leng1259	five	mila			barlowpacific	Unger2008	pp.56-57		
Lengo (Paripao)	520	pari1257	leng1259	hand	lime	arm	1,64	abvd	85830		Tryon & Hackman (1983)	Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.
Lengo (Ghaimuta)	531	ghai1237	leng1259	hand	lima	arm	1,64	abvd	85830		Tryon & Hackman (1983)	Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.
Lengo	563	leng1259	leng1259	hand	lima-ŋgu	my arm	1,64	abvd	85830		Tryon & Hackman (1983), Paul Unger	Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.
Lenkau	lenk1247-1	lenk1247	lenk1247	five	nguran			barlowpacific	LeanManus	p.4	Lean’s Field Notes (1987) from a Lenkau-speaking informant in Lorengau.	
Lenkau	lenk1247-2	lenk1247	lenk1247	five	ŋuran			barlowpacific	Blust2021	pp.25, 30, 32, 38		
Lesing-Atui (Lesing dialect)	lesi1239-1	lesi1239	lesi1239	five	lim	‘hand’ = ‘i'meni’ (not cognate)		barlowpacific	LeanWestNewBritain	p.12	1 CSQ. Village: Amio. (Lesing d.).	
Amio-Gelimi - Amio village	lesi1239-2	lesi1239	lesi1239	five	(ɛ)lim			barlowpacific	Spencer2013	p.55		
Amio-Gelimi - Kaskas village	lesi1239-3	lesi1239	lesi1239	five	ɛlim			barlowpacific	Spencer2013	p.55		
Amio-Gelimi - Atui village	lesi1239-4	lesi1239	lesi1239	five	ɛlim			barlowpacific	Spencer2013	p.55		
Amio-Gelimi - Poronga village	lesi1239-5	lesi1239	lesi1239	five	hɛlim			barlowpacific	Spencer2013	p.55		
Lesing-Atui (Lesing dialect)	lesi1239-1	lesi1239	lesi1239	hand	i'meni	‘hand’ = ‘i'meni’ (not cognate)		barlowpacific	LeanWestNewBritain	p.12	1 CSQ. Village: Amio. (Lesing d.).	
Repanbitipmbangir	1062	repa1237	lete1241	five	i-ləme		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Letemboi	1099	lete1241	lete1241	five	i-lmə		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Nombotkote (Usus - Melkin)	1230	lete1241	lete1241	five	i-lmɛ		1	abvd	Shimelman-1230-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Nombotkote (Blacksands)	1231	lete1241	lete1241	five	i-lmɛ		1	abvd	Shimelman-1231-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Nombotkote (Melaklak (Melkin))	1232	lete1241	lete1241	five	i-ləmɛʰ		1	abvd	Shimelman-1232-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Letemboi (Aingelemolesa)	1233	lete1241	lete1241	five	i-ləmɛʰ		1	abvd	Shimelman-1233-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Letemboi (Natingatlang North)	1234	lete1241	lete1241	five	i-ləme		1	abvd	Shimelman-1234-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Letemboi (Nevatanyene)	1235	lete1241	lete1241	five	i-ləmɛ		1	abvd	Shimelman-1235-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Letemboi (Nevatanyene)	1235	lete1241	lete1241	five	i-ləmɛ		1	abvd	Shimelman-1235-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Letemboi (Newotenyene)	1236	lete1241	lete1241	five	i-ləmɛ		1	abvd	Shimelman-1236-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Novol (Usus - Dixon Reef)	1239	lete1241	lete1241	five	i-lme		1	abvd	Shimelman-1239-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Novol (Usus - Dixon Reef)	1240	lete1241	lete1241	five	i-ləmɛ		1	abvd	Shimelman-1240-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Novol (Usus - Dixon Reef)	1241	lete1241	lete1241	five	i-ləme		1	abvd	Shimelman-1241-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Novol (Melaklak)	1242	lete1241	lete1241	five	i-ləmɛ		1	abvd	Shimelman-1242-2015		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Novol (Bangir)	1370	lete1241	lete1241	five	i-ɛləmɛ		1	abvd	Shimelman-1370-2016		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Novol (Bangir)	1370	lete1241	lete1241	five	i-ɛləmɛ		1	abvd	Shimelman-1370-2016		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Natangan (Mbonvor) 162-86	1397	lete1241	lete1241	five	i-lme		1	abvd	Shimelman-1397-2016		Aviva Shimelman	"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as ""dʳ""."
Letemboi, Vanuatu	lete1241-1	lete1241	lete1241	five	i-lmə			chan2019	Letemboi.htm		Dr. Jean-Michel Charpentier, LACiTO ( Langues et civilisations à tradition orale ) / CNRS, Paris, France through Prof. Nicolas Ossart, December 1, 2004.	Letemboi has a quinary-decimal counting system. New data needed to compare with the old one.
Repanbitip, Vanuatu	repa1237-1	repa1237	lete1241	five	i-ləme			chan2019	Repanbitip.htm		Dr. Jean-Michel Charpentier, LACiTO ( Langues et civilisations à tradition orale ) / CNRS, Paris, France through Prof. Nicolas Ossart, December 1, 2004.	Repanbitip has a quinary-vigesimal counting system, new data needed.
Repanbitipmbangir	1062	repa1237	lete1241	hand	βara-ᵑk		16	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
